frame,time_sec,student_name,behavior,confidence,duration_sec
15,0.5,Haider,looking_board,0.817,0.5
15,0.5,Hashim,looking_board,0.646,0.5
15,0.5,Hassan,reading,0.624,0.5
15,0.5,Muneeb,looking_away,0.271,0.5
15,0.5,Yasir,mobile_use,0.256,0.5
16,0.53,Haider,looking_board,0.815,0.5
16,0.53,Hashim,looking_board,0.69,0.5
16,0.53,Hassan,reading,0.542,0.5
16,0.53,Hashim,looking_board,0.291,0.5
16,0.53,Muneeb,looking_away,0.269,0.5
16,0.53,Yasir,mobile_use,0.252,0.5
17,0.57,Haider,looking_board,0.811,0.6
17,0.57,Hassan,reading,0.448,0.6
17,0.57,Hashim,looking_board,0.344,0.6
17,0.57,Hashim,looking_board,0.297,0.6
17,0.57,Hassan,reading,0.259,0.6
18,0.6,Haider,looking_board,0.81,0.6
18,0.6,Hassan,reading,0.431,0.6
18,0.6,Hashim,looking_board,0.374,0.6
18,0.6,Hassan,reading,0.283,0.6
18,0.6,Muneeb,looking_away,0.276,0.6
19,0.63,Haider,looking_board,0.817,0.6
19,0.63,Hashim,looking_board,0.725,0.6
19,0.63,Hassan,reading,0.447,0.6
19,0.63,Hashim,looking_board,0.349,0.6
19,0.63,Yasir,mobile_use,0.277,0.6
20,0.67,Haider,looking_board,0.82,0.7
20,0.67,Hashim,looking_board,0.795,0.7
20,0.67,Hassan,reading,0.424,0.7
20,0.67,Hashim,looking_board,0.336,0.7
21,0.7,Haider,looking_board,0.851,0.7
21,0.7,Hassan,reading,0.45,0.7
21,0.7,Hashim,looking_board,0.375,0.7
21,0.7,Hashim,looking_board,0.36,0.7
22,0.73,Haider,looking_board,0.845,0.7
22,0.73,Hassan,reading,0.412,0.7
22,0.73,Hashim,looking_board,0.363,0.7
22,0.73,Hashim,looking_board,0.298,0.7
22,0.73,Hassan,looking_away,0.283,0.7
23,0.77,Haider,looking_board,0.851,0.8
23,0.77,Hassan,looking_away,0.409,0.8
23,0.77,Hashim,looking_board,0.279,0.8
23,0.77,Yasir,mobile_use,0.27,0.8
23,0.77,Muneeb,looking_away,0.268,0.8
24,0.8,Haider,looking_board,0.801,0.8
24,0.8,Hassan,looking_away,0.505,0.8
24,0.8,Hashim,looking_board,0.344,0.8
24,0.8,Muneeb,looking_away,0.34,0.8
24,0.8,Hassan,looking_away,0.329,0.8
24,0.8,Hashim,looking_board,0.269,0.8
24,0.8,Yasir,mobile_use,0.263,0.8
25,0.83,Haider,looking_board,0.795,0.8
25,0.83,Hassan,looking_away,0.547,0.8
25,0.83,Hashim,looking_board,0.427,0.8
25,0.83,Hassan,looking_away,0.373,0.8
25,0.83,Yasir,mobile_use,0.287,0.8
25,0.83,Muneeb,looking_away,0.281,0.8
25,0.83,Yasir,mobile_use,0.278,0.8
25,0.83,Hashim,looking_board,0.254,0.8
26,0.87,Haider,looking_board,0.764,0.9
26,0.87,Hassan,looking_away,0.47,0.9
